Papel,Cotação,Tipo,Data últ cot,Empresa,Min 52 sem,Setor,Max 52 sem,Subsetor,Vol $ méd (2m),Valor de mercado,Últ balanço processado,Valor da firma,Nro. Ações,Dia,P/L,LPA,Mês,P/VP,VPA,30 dias,P/EBIT,Marg. Bruta,12 meses,PSR,Marg. EBIT,2020,P/Ativos,Marg. Líquida,2019,P/Cap. Giro,EBIT / Ativo,2018,P/Ativ Circ Liq,ROIC,2017,Div. Yield,ROE,2016,EV / EBITDA,Liquidez Corr,2015,EV / EBIT,Div Br/ Patrim,Cres. Rec (5a),Giro Ativos,Ativo,Patrim. Líq,N
BRKM5,16.29,PNA N1,09/04/2020,BRASKEM PNA N1,10.07,Químicos,47.91,Petroquímicos,91.964.300,12.986.700.000,31/12/2019,33.740.200.000,797.219.000,"-1,33%",-4.64,-3.51,"-5,40%",2.66,6.13,"-25,55%","5,44",12.7,"-64,90%",0.25,4.6,"-45,43%",0.19,-5.5,"-35,24%",1.81,3.5,"15,28%","-0,32",4.7,"28,76%",5.1,-57.3,"37,82%",5.6,1.44,"67,14%","14,13",5.99,"4,1%",0.77,68.129.000.000,4.885.300.000,15
BRFS3,18.04,ON NM,09/04/2020,BRF Foods ON NM,13.01,Alimentos,40.5,Carnes e Derivados,208.220.000,14.657.000.000,31/12/2019,28.621.300.000,812.473.000,"3,68%",49.25,0.37,"19,55%",1.86,9.72,"-9,80%","5,75",24.1,"-26,28%",0.44,7.6,"-48,75%",0.35,0.9,"60,51%",8.51,6.1,"-40,08%","-0,79",8.5,"-24,15%",0.0,3.8,"-10,76%",5.9,1.13,"-10,30%","11,23",2.36,"-0,3%",0.8,41.700.600.000,7.895.620.000,16
CAML3,7.75,ON NM,09/04/2020,CAMIL ON NM,6.29,Alimentos,9.79,Alimentos Diversos,13.716.700,2.867.500.000,31/08/2019,4.232.300.000,370.000.000,"-2,02%",8.42,0.92,"-0,51%",1.27,6.1,"-2,39%","11,35",24.0,"13,07%",0.57,5.0,"-13,66%",0.53,6.7,"30,39%",1.72,4.7,"-7,99%","15,95",6.3,"-11,44%",2.4,15.1,"0,00%",11.4,2.02,"0,00%","16,76",0.99,"14,3%",0.94,5.390.020.000,2.258.460.000,17
CRFB3,20.0,ON NM,09/04/2020,CARREFOUR BR ON NM,17.6,Comércio e Distribuição,24.55,Alimentos,101.577.000,39.697.400.000,31/12/2019,38.572.400.000,1.984.870.000,"-4,08%",39.19,0.51,"-3,05%",2.94,6.8,"-1,19%","10,78",20.7,"1,57%",0.66,6.1,"-14,35%",0.88,2.2,"30,45%",18.94,8.2,"21,03%","-4,93",13.6,"2,35%",1.4,7.5,"0,00%",8.11,1.1,"0,00%","10,47",0.33,"8,1%",1.34,44.912.000.000,13.504.000.000,18
CCRO3,12.81,ON NM,09/04/2020,COMPANHIA DE CONCESSÕES RODOVIÁRIAS ON NM,9.92,Transporte,20.08,Exploração de Rodovias,143.666.000,25.876.200.000,31/12/2019,39.915.100.000,2.020.000.000,"3,31%",17.99,0.71,"9,21%",3.18,4.03,"0,87%","7,64",42.4,"7,20%",2.44,32.0,"-32,51%",0.78,13.5,"78,22%",42.24,10.2,"-26,80%","-1,46",12.2,"4,75%",8.3,17.7,"33,56%",7.49,1.09,"-11,34%","11,79",2.34,"4,3%",0.32,33.262.100.000,8.138.790.000,19
CEAB3,8.6,ON NM,09/04/2020,CEA MODAS ON NM,5.3,Comércio,19.12,"Tecidos, Vestuário e Calçados",26.511.700,2.650.910.000,31/12/2019,3.791.480.000,308.245.000,"-1,15%",2.73,3.15,"28,36%",0.97,8.89,"-27,43%","6,85",48.6,"-48,83%",0.5,7.3,"-51,48%",0.44,18.4,"5,47%",2.12,6.4,"0,00%","-8,90",8.1,"0,00%",0.0,35.5,"0,00%",4.27,1.71,"0,00%","9,80",0.58,"2,3%",0.88,6.037.090.000,2.739.570.000,20
CMIG3,9.41,ON N1,09/04/2020,CEMIG ON N1,7.74,Energia Elétrica,18.77,Energia Elétrica,25.137.200,13.726.900.000,31/12/2019,27.226.800.000,1.458.750.000,"2,62%",4.39,2.14,"3,98%",0.86,10.89,"-25,67%","2,79",22.8,"-40,00%",0.54,19.3,"-39,64%",0.27,12.3,"8,03%",6.17,9.8,"137,44%","-0,57",10.5,"-16,85%",7.7,19.7,"36,15%",4.64,1.28,"-50,45%","5,54",0.93,"5,4%",0.51,49.927.100.000,15.886.600.000,21
CMIG4,9.17,PN N1,09/04/2020,CEMIG PN N1,7.95,Energia Elétrica,15.97,Energia Elétrica,152.927.000,13.376.800.000,31/12/2019,26.876.700.000,1.458.750.000,"3,38%",4.28,2.14,"2,92%",0.84,10.89,"-25,45%","2,72",22.8,"-31,56%",0.53,19.3,"-33,50%",0.27,12.3,"4,45%",6.01,9.8,"116,61%","-0,56",10.5,"-5,63%",7.9,19.7,"40,69%",4.58,1.28,"-50,64%","5,47",0.93,"5,4%",0.51,49.927.100.000,15.886.600.000,22
CESP6,25.67,PNB,09/04/2020,CESP CIA ENERGETICA SAO PAULO PNB,22.09,Energia Elétrica,33.07,Energia Elétrica,100.052.000,8.407.000.000,31/12/2019,9.508.060.000,327.503.000,"2,31%",7.23,3.55,"3,00%",1.18,21.82,"-7,71%","38,90",30.5,"12,73%",5.35,13.8,"-13,32%",0.65,74.0,"51,52%",131.71,1.7,"65,46%","-1,76",1.8,"0,55%",10.7,16.3,"3,85%",15.96,1.07,"-33,95%","43,99",0.25,"-12,0%",0.12,12.929.700.000,7.144.910.000,23
HGTX3,14.45,ON N1,09/04/2020,CIA HERING ON N1,11.18,"Tecidos, Vestuário e Calçados",35.35,Vestuário,58.178.300,2.348.620.000,31/12/2019,2.049.280.000,162.534.000,"3,73%",10.94,1.32,"-2,89%",1.65,8.78,"-23,55%","11,53",43.8,"-48,72%",1.52,13.1,"-57,55%",1.3,13.9,"19,94%",2.64,11.2,"17,96%","2,84",16.2,"80,90%",4.6,15.1,"5,89%",7.02,3.73,"-18,49%","10,06",0.05,"-0,1%",0.86,1.811.770.000,1.426.400.000,24
CIEL3,4.83,ON NM,09/04/2020,CIELO ON NM,3.98,Serviços Financeiros Diversos,9.46,Serviços Financeiros Diversos,105.803.000,13.122.200.000,31/12/2019,19.112.400.000,2.716.820.000,"-3,78%",8.29,0.58,"8,78%",1.15,4.19,"-19,77%","6,70",36.1,"-46,99%",1.16,17.3,"-42,11%",0.14,15.8,"-1,06%",1.5,2.1,"-58,16%","-7,80",7.5,"4,66%",4.3,13.9,"1,31%",6.32,1.13,"3,53%","9,76",0.81,"-0,1%",0.12,93.422.300.000,11.392.600.000,25
COCE5,47.81,PNA,09/04/2020,CIA ENERG CEARA - COELCE PNA,41.0,Energia Elétrica,64.27,Energia Elétrica,1.964.930,3.722.250.000,31/12/2019,5.738.040.000,77.855.000,"0,50%",9.19,5.2,"-1,01%",1.2,40.0,"-18,41%","7,03",14.1,"-4,21%",0.69,9.9,"-23,39%",0.43,7.5,"34,74%",33.83,6.1,"-10,60%","-1,10",6.9,"14,40%",3.9,13.0,"42,38%",7.16,1.05,"-0,13%","10,83",0.7,"7,8%",0.62,8.664.710.000,3.114.050.000,26
COGN3,4.58,ON,09/04/2020,COGNA ON,3.66,Diversos,13.62,Educacional,237.091.000,8.594.850.000,31/12/2019,19.875.300.000,1.876.610.000,"-0,43%",36.54,0.13,"14,50%",0.54,8.44,"-39,26%","8,79",60.0,"-55,10%",1.22,13.9,"-59,93%",0.25,3.5,"30,33%",4.97,2.9,"-50,09%","-0,62",3.0,"41,81%",1.8,1.5,"44,07%",9.14,1.63,"-34,70%","20,33",0.76,"7,5%",0.21,34.118.400.000,15.832.400.000,27
CSMG3,46.5,ON,09/04/2020,COPASA MG ON,32.97,Água e Saneamento,71.79,Água e Saneamento,49.832.800,5.893.920.000,31/12/2019,8.680.010.000,126.751.000,"3,33%",7.81,5.95,"13,69%",0.87,53.2,"-9,24%","4,65",41.8,"-23,72%",1.14,24.6,"-29,89%",0.51,14.6,"13,15%",8.13,11.0,"53,64%","-2,00",11.7,"24,55%",3.5,11.2,"144,17%",4.64,1.65,"-37,42%","6,85",0.49,"7,8%",0.45,11.528.800.000,6.743.710.000,28
CPLE3,55.14,ON,09/04/2020,COPEL ON,29.39,Energia Elétrica,85.63,Energia Elétrica,17.010.800,15.089.400.000,31/12/2019,23.716.500.000,273.655.000,"2,59%",7.58,7.27,"-5,55%",0.87,63.04,"-20,89%","4,26",27.6,"74,75%",0.93,21.8,"-20,20%",0.39,12.7,"140,58%",5.89,9.2,"49,37%","-1,18",10.5,"20,40%",4.7,11.5,"26,21%",5.12,1.48,"-30,87%","6,69",0.67,"3,3%",0.42,38.312.600.000,17.252.400.000,29
CPLE6,56.23,PNB,09/04/2020,COPEL PNB,34.6,Energia Elétrica,77.91,Energia Elétrica,78.949.800,15.387.600.000,31/12/2019,24.014.700.000,273.655.000,"3,16%",7.73,7.27,"5,10%",0.89,63.04,"-10,15%","4,34",27.6,"54,06%",0.95,21.8,"-18,59%",0.4,12.7,"135,32%",6.0,9.2,"31,27%","-1,20",10.5,"-2,78%",5.1,11.5,"17,14%",5.18,1.48,"-26,66%","6,78",0.67,"3,3%",0.42,38.312.600.000,17.252.400.000,30
CSAN3,51.57,ON,09/04/2020,COSAN SA INDUSTRIA E COMERCIO ON,42.27,Alimentos,84.2,Açucar e Alcool,161.338.000,20.329.400.000,31/12/2019,27.667.700.000,394.210.000,"-3,26%",8.38,6.15,"-4,07%",1.93,26.77,"-18,14%","9,87",29.3,"17,10%",1.5,15.2,"-25,87%",0.62,18.3,"112,49%",3.93,6.3,"-17,07%","-1,94",8.2,"11,62%",2.0,23.0,"62,40%",10.52,1.84,"-6,56%","13,43",1.27,"14,2%",0.41,32.865.100.000,10.553.700.000,31
RLOG3,15.9,ON NM,09/04/2020,COSAN LOG ON NM,11.21,Transporte,23.5,Transporte Ferroviário,16.268.000,7.365.260.000,31/12/2019,17.122.700.000,463.224.000,"2,91%",34.43,0.46,"-4,90%",3.1,5.13,"6,21%","3,49",35.0,"8,16%",1.04,29.7,"-31,47%",0.22,11.0,"77,78%",3.85,6.4,"40,63%","-0,38",6.9,"90,95%",0.0,9.0,"26,56%",4.48,1.63,"-62,68%","8,12",4.93,"15,0%",0.22,32.838.000.000,2.376.850.000,32
CPFE3,27.8,ON,09/04/2020,CPFL ENERGIA S.A. ON,23.5,Energia Elétrica,39.2,Energia Elétrica,106.592.000,32.032.700.000,31/12/2019,48.154.100.000,1.152.250.000,"0,72%",11.85,2.35,"3,46%",2.47,11.28,"-18,24%","6,60",22.0,"-2,56%",1.07,16.2,"-21,80%",0.73,9.2,"25,22%",116.6,11.0,"50,85%","-1,57",12.8,"-22,58%",1.5,20.8,"72,05%",7.7,1.03,"-11,19%","9,93",1.46,"12,4%",0.68,44.078.300.000,12.994.400.000,33
CARD3,8.55,ON NM,09/04/2020,CSU CARDSYST ON NM,5.86,Serviços,15.53,Serviços Diversos,3.266.030,357.390.000,31/12/2019,446.426.000,41.800.000,"-4,58%",13.32,0.64,"10,32%",1.39,6.15,"-18,34%","8,94",25.2,"30,36%",0.82,9.2,"-29,93%",0.72,6.2,"83,26%",-57.23,8.1,"-27,36%","-3,41",9.6,"107,43%",3.6,10.4,"74,81%",4.51,0.96,"7,63%","11,16",0.46,"-2,3%",0.87,495.706.000,257.266.000,34
CVCB3,12.95,ON NM,09/04/2020,CVC BRASIL ON NM,6.49,Viagens e Lazer,58.17,Viagens e Turismo,128.000.000,1.933.810.000,30/09/2019,3.064.240.000,149.329.000,"10,21%",8.01,1.62,"16,67%",1.41,9.18,"-33,59%","2,74",88.6,"-74,20%",0.98,35.6,"-70,43%",0.28,11.6,"-27,82%",1.16,10.2,"27,11%","-3,75",12.2,"106,83%",3.4,17.6,"83,66%",3.63,1.49,"-6,84%","4,35",1.13,"22,8%",0.29,6.931.810.000,1.370.930.000,35
CCPR3,15.08,ON,09/04/2020,CYRELA COMMERCIAL PROPERTIES SA EMP PART ON,11.51,Exploração de Imóveis,26.49,Exploração de Imóveis,9.000.280,2.489.920.000,31/12/2019,3.595.470.000,165.114.000,"2,72%",75.89,0.2,"9,67%",1.31,11.53,"-25,93%","10,05",65.3,"23,61%",5.29,52.6,"-40,65%",0.47,20.6,"192,07%",3.34,4.7,"8,48%","-2,18",5.6,"26,90%",0.0,1.7,"15,75%",12.32,3.88,"-27,30%","14,51",1.05,"5,7%",0.09,5.311.610.000,1.904.030.000,36
CYRE3,14.6,PN,09/04/2020,CYRELA BRAZIL REALTY PN,12.45,Construção e Engenharia,34.38,Construção Civil,155.823.000,5.836.250.000,31/12/2019,6.975.470.000,399.743.000,"1,74%",14.03,1.04,"3,33%",1.23,11.91,"-36,85%","13,25",30.9,"-2,99%",1.48,11.2,"-50,83%",0.58,13.6,"105,90%",1.84,4.4,"26,49%","10,79",5.2,"29,84%",12.5,8.7,"40,48%",14.73,2.44,"-25,77%","15,84",0.53,"-2,1%",0.39,9.987.780.000,4.762.380.000,37
PNVL3,25.98,ON,09/04/2020,PANVEL FARMÁCIAS ON,12.15,Comércio e Distribuição,30.0,Medicamentos,1.702.530,3.519.770.000,31/12/2019,3.953.740.000,135.480.000,"1,68%",45.86,0.57,"14,50%",6.71,3.87,"-3,78%","30,91",29.7,"101,66%",1.29,4.2,"32,33%",2.41,2.8,"91,72%",10.06,7.8,"-21,20%","-41,42",10.5,"-40,06%",0.6,14.6,"131,99%",18.88,1.7,"35,67%","34,72",0.96,"8,0%",1.87,1.460.290.000,524.176.000,38
DIRR3,9.13,ON NM,09/04/2020,Direcional Engenharia ON NM,7.18,Construção e Engenharia,18.39,Construção Civil,17.999.600,1.400.530.000,31/12/2019,1.544.150.000,153.399.000,"3,51%",13.94,0.65,"8,95%",1.11,8.19,"-30,52%","6,02",33.7,"7,67%",0.96,15.9,"-39,13%",0.3,8.3,"116,76%",0.77,5.0,"45,68%","-1,47",6.0,"24,02%",5.5,8.0,"36,30%",5.75,4.52,"-52,13%","6,64",0.69,"-3,0%",0.31,4.654.720.000,1.256.930.000,39
DMMO3,0.89,ON,09/04/2020,DOMMO ON,0.48,"Petróleo, Gás e Biocombustíveis",10.4,Exploração e/ou Refino e Distribuição,6.273.080,240.336.000,31/12/2019,900.387.000,270.040.000,"39,06%",-1.9,-0.47,"43,55%",-0.5,-1.79,"-5,32%","-21,54",12.5,"-87,64%",0.55,-2.5,"-69,62%",0.18,-28.9,"-70,10%",-1.0,-0.8,"-5,77%","-0,15",-1.0,"-53,15%",0.0,26.2,"-62,99%",17.1,0.48,"270,31%","-80,69",-1.63,"4,3%",0.33,1.339.740.000,-482.478.000,40
DTEX3,9.34,ON NM,09/04/2020,DURATEX ON NM,7.77,Madeira e Papel,19.3,Madeira,57.799.900,6.461.270.000,31/12/2019,8.166.590.000,691.785.000,"-0,64%",15.93,0.59,"-0,11%",1.31,7.13,"-32,85%","18,67",25.8,"-10,88%",1.29,6.9,"-44,14%",0.6,8.1,"44,26%",4.74,3.2,"37,00%","-2,85",3.9,"36,67%",4.0,8.2,"17,23%",7.66,1.63,"-19,02%","23,59",0.6,"7,3%",0.47,10.714.700.000,4.930.860.000,41
ECOR3,10.7,ON NM,09/04/2020,ECORODOVIAS ON NM,8.05,Transporte,19.1,Exploração de Rodovias,53.816.500,5.978.080.000,31/12/2019,12.638.700.000,558.699.000,"5,63%",-32.23,-0.33,"13,23%",13.13,0.82,"-10,98%","4,97",38.0,"13,23%",1.51,30.4,"-34,36%",0.52,-4.7,"73,77%",-3.56,10.4,"-17,79%","-0,68",12.8,"55,66%",0.0,-40.7,"66,97%",7.14,0.58,"-49,94%","10,51",19.06,"7,6%",0.34,11.542.500.000,455.351.000,42
ELET3,25.26,ON,09/04/2020,ELETROBRÁS ON,15.24,Energia Elétrica,46.83,Energia Elétrica,183.740.000,39.631.200.000,31/12/2019,74.748.800.000,1.568.930.000,"5,29%",3.7,6.82,"5,87%",0.56,45.19,"-8,31%","5,44",75.6,"-22,13%",1.43,26.3,"-33,17%",0.22,38.8,"59,97%",2.63,4.1,"25,29%","-0,61",4.5,"-15,20%",2.8,15.1,"295,73%",8.22,1.59,"1,81%","10,26",0.69,"-11,4%",0.16,177.467.000.000,70.906.800.000,43
ELET6,28.34,PNB,09/04/2020,ELETROBRÁS PNB,18.48,Energia Elétrica,47.27,Energia Elétrica,123.600.000,44.463.500.000,31/12/2019,79.581.100.000,1.568.930.000,"5,16%",4.16,6.82,"8,87%",0.63,45.19,"-4,99%","6,10",75.6,"-15,70%",1.6,26.3,"-25,89%",0.25,38.8,"41,32%",2.95,4.1,"24,07%","-0,68",4.5,"-6,44%",4.3,15.1,"147,98%",8.75,1.59,"32,96%","10,93",0.69,"-11,4%",0.16,177.467.000.000,70.906.800.000,44
EMBR3,9.63,ON,09/04/2020,EMBRAER ON,7.74,Material de Transporte,20.5,Material Aeronáutico,77.099.300,7.130.680.000,31/12/2019,2.398.600.000,740.465.000,"3,10%",-5.42,-1.78,"0,94%",0.5,19.15,"-35,63%","23,34",13.7,"-48,97%",0.68,2.9,"-51,19%",0.17,-12.4,"-8,99%",0.81,0.7,"8,89%","1,10",0.8,"27,14%",0.0,-9.3,"-46,72%",2.13,1.34,"21,50%","7,85",0.03,"-13,6%",0.25,42.614.700.000,14.179.000.000,45
ENAT3,9.62,ON,09/04/2020,ENAUTA PART ON,6.44,"Petróleo, Gás e Biocombustíveis",18.54,Exploração e/ou Refino e Distribuição,20.489.000,2.557.060.000,31/12/2019,1.104.700.000,265.807.000,"-7,50%",11.87,0.81,"5,14%",0.88,10.89,"-0,31%","8,28",31.9,"-27,34%",2.3,27.8,"-39,88%",0.56,19.4,"94,65%",1.7,6.8,"-0,24%","6,06",11.4,"107,04%",19.8,7.4,"-5,24%",1.49,3.63,"-14,63%","3,58",0.09,"23,7%",0.24,4.549.170.000,2.895.540.000,46
ENBR3,16.09,ON,09/04/2020,EDP ENERGIAS DO BRASIL S/A ON,13.63,Energia Elétrica,22.92,Energia Elétrica,74.586.300,9.764.220.000,31/12/2019,15.455.200.000,606.850.000,"0,94%",7.3,2.2,"0,03%",1.06,15.21,"-14,61%","4,04",19.4,"-5,74%",0.64,15.9,"-25,19%",0.36,9.7,"56,96%",6.14,8.8,"9,23%","-0,99",10.7,"5,22%",4.0,14.5,"22,99%",5.05,1.28,"39,69%","6,40",0.92,"12,9%",0.55,27.489.100.000,9.229.050.000,47
ENGI11,41.71,UNT N2,09/04/2020,ENERGISA UNT N2,35.35,Energia Elétrica,60.0,Energia Elétrica,89.961.000,15.137.100.000,31/12/2019,29.575.400.000,1.814.560.000,"2,36%",33.24,1.25,"10,34%",2.66,15.7,"-17,96%","6,52",16.3,"5,47%",0.76,11.7,"-21,62%",0.38,2.6,"48,00%",6.51,5.9,"39,76%","-0,66",6.7,"50,55%",1.4,8.0,"36,10%",8.5,1.31,"32,95%","12,74",3.0,"14,0%",0.51,39.319.800.000,5.698.260.000,48
